entry,at,order
"The player ""ramune @ 3rSQmMhWok"" quits the game with a stack of 0.",2025-11-15T05:09:47.023Z,176318338702300
"-- ending hand #121 --",2025-11-15T05:09:41.021Z,176318338102101
"""whywaita @ DtjzvbAuKs"" collected 92664 from pot with Flush, Ah High (combination: A♥, Q♥, 10♥, 9♥, 4♥)",2025-11-15T05:09:41.021Z,176318338102100
"River: 4♥, 6♦, 9♥, Q♥ [10♥]",2025-11-15T05:09:37.017Z,176318337701700
"Turn: 4♥, 6♦, 9♥ [Q♥]",2025-11-15T05:09:33.012Z,176318337301200
"Flop:  [4♥, 6♦, 9♥]",2025-11-15T05:09:29.003Z,176318336900300
"""whywaita @ DtjzvbAuKs"" shows a A♥, 4♦.",2025-11-15T05:09:24.978Z,176318336497801
"""ramune @ 3rSQmMhWok"" shows a Q♠, J♠.",2025-11-15T05:09:24.978Z,176318336497800
"""whywaita @ DtjzvbAuKs"" calls 45666",2025-11-15T05:09:24.128Z,176318336412800
"""ramune @ 3rSQmMhWok"" raises to 45666 and go all in",2025-11-15T05:09:22.189Z,176318336218900
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:09:18.384Z,176318335838400
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:09:14.567Z,176318335456707
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:09:14.567Z,176318335456706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:09:14.567Z,176318335456705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:09:14.567Z,176318335456704
"Your hand is A♥, 4♦",2025-11-15T05:09:14.567Z,176318335456703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (46332) | #9 ""whywaita @ DtjzvbAuKs"" (403668)",2025-11-15T05:09:14.567Z,176318335456701
"-- starting hand #121 (id: jtnjnrtpd79o)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:09:14.567Z,176318335456700
"-- ending hand #120 --",2025-11-15T05:09:11.587Z,176318335158702
"""whywaita @ DtjzvbAuKs"" collected 41332 from pot",2025-11-15T05:09:11.587Z,176318335158701
"Uncalled bet of 362336 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:09:11.587Z,176318335158700
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:09:10.775Z,176318335077500
"""whywaita @ DtjzvbAuKs"" bets 362336 and go all in",2025-11-15T05:09:06.169Z,176318334616900
"Turn: 5♥, 9♥, 7♠ [10♦]",2025-11-15T05:08:58.304Z,176318333830400
"""ramune @ 3rSQmMhWok"" calls 12000",2025-11-15T05:08:57.490Z,176318333749000
"""whywaita @ DtjzvbAuKs"" bets 12000",2025-11-15T05:08:47.229Z,176318332722900
"Flop:  [5♥, 9♥, 7♠]",2025-11-15T05:08:37.799Z,176318331779900
"""whywaita @ DtjzvbAuKs"" calls 8000",2025-11-15T05:08:36.911Z,176318331691100
"""ramune @ 3rSQmMhWok"" raises to 8000",2025-11-15T05:08:34.178Z,176318331417800
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:08:29.500Z,176318330950007
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:08:29.500Z,176318330950006
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:08:29.500Z,176318330950005
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:08:29.500Z,176318330950004
"Your hand is 9♣, J♠",2025-11-15T05:08:29.500Z,176318330950003
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (66998) | #9 ""whywaita @ DtjzvbAuKs"" (383002)",2025-11-15T05:08:29.500Z,176318330950001
"-- starting hand #120 (id: rnqj5zrnvdqx)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:08:29.500Z,176318330950000
"-- ending hand #119 --",2025-11-15T05:08:26.595Z,176318330659502
"""ramune @ 3rSQmMhWok"" collected 17332 from pot",2025-11-15T05:08:26.595Z,176318330659501
"Uncalled bet of 10000 returned to ""ramune @ 3rSQmMhWok""",2025-11-15T05:08:26.595Z,176318330659500
"""whywaita @ DtjzvbAuKs"" folds",2025-11-15T05:08:25.792Z,176318330579200
"""ramune @ 3rSQmMhWok"" bets 10000",2025-11-15T05:08:22.167Z,176318330216700
"Turn: 5♣, 9♦, 10♥ [J♠]",2025-11-15T05:08:14.247Z,176318329424700
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T05:08:13.389Z,176318329338900
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:08:04.982Z,176318328498200
"Flop:  [5♣, 9♦, 10♥]",2025-11-15T05:08:00.918Z,176318328091800
"""ramune @ 3rSQmMhWok"" calls 8000",2025-11-15T05:08:00.116Z,176318328011600
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:07:53.508Z,176318327350800
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:07:49.641Z,176318326964107
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:07:49.641Z,176318326964106
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:07:49.641Z,176318326964105
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:07:49.641Z,176318326964104
"Your hand is 3♠, 6♠",2025-11-15T05:07:49.641Z,176318326964103
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (58332) | #9 ""whywaita @ DtjzvbAuKs"" (391668)",2025-11-15T05:07:49.641Z,176318326964101
"-- starting hand #119 (id: glccnzdlqdo0)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:07:49.641Z,176318326964100
"-- ending hand #118 --",2025-11-15T05:07:46.646Z,176318326664602
"""whywaita @ DtjzvbAuKs"" collected 5332 from pot",2025-11-15T05:07:46.646Z,176318326664601
"Uncalled bet of 2000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:07:46.646Z,176318326664600
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:07:45.744Z,176318326574400
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:07:40.237Z,176318326023707
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:07:40.237Z,176318326023706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:07:40.237Z,176318326023705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:07:40.237Z,176318326023704
"Your hand is 5♥, 3♣",2025-11-15T05:07:40.237Z,176318326023703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (60998) | #9 ""whywaita @ DtjzvbAuKs"" (389002)",2025-11-15T05:07:40.237Z,176318326023701
"-- starting hand #118 (id: cbjlg7xuvsmy)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:07:40.237Z,176318326023700
"-- ending hand #117 --",2025-11-15T05:07:37.235Z,176318325723502
"""whywaita @ DtjzvbAuKs"" collected 17332 from pot",2025-11-15T05:07:37.235Z,176318325723501
"Uncalled bet of 8000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:07:37.235Z,176318325723500
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:07:36.355Z,176318325635500
"""whywaita @ DtjzvbAuKs"" bets 8000",2025-11-15T05:07:29.293Z,176318324929300
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:07:17.233Z,176318323723300
"Flop:  [Q♣, 5♠, 9♥]",2025-11-15T05:07:13.611Z,176318323361100
"""ramune @ 3rSQmMhWok"" calls 8000",2025-11-15T05:07:12.678Z,176318323267800
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:07:07.772Z,176318322777200
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:07:04.020Z,176318322402007
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:07:04.020Z,176318322402006
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:07:04.020Z,176318322402005
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:07:04.020Z,176318322402004
"Your hand is K♠, 4♣",2025-11-15T05:07:04.020Z,176318322402003
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (69664) | #9 ""whywaita @ DtjzvbAuKs"" (380336)",2025-11-15T05:07:04.020Z,176318322402001
"-- starting hand #117 (id: pgvgpm4ytwvv)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:07:04.020Z,176318322402000
"-- ending hand #116 --",2025-11-15T05:06:57.995Z,176318321799501
"""ramune @ 3rSQmMhWok"" collected 69664 from pot with Two Pair, Q's & 5's (combination: Q♦, Q♠, 5♥, 5♣, J♣)",2025-11-15T05:06:57.995Z,176318321799500
"River: 8♣, 5♣, Q♠, J♣ [2♦]",2025-11-15T05:06:53.944Z,176318321394400
"Turn: 8♣, 5♣, Q♠ [J♣]",2025-11-15T05:06:49.939Z,176318320993900
"Flop:  [8♣, 5♣, Q♠]",2025-11-15T05:06:45.937Z,176318320593700
"""whywaita @ DtjzvbAuKs"" shows a K♥, A♠.",2025-11-15T05:06:41.873Z,176318320187301
"""ramune @ 3rSQmMhWok"" shows a 5♥, Q♦.",2025-11-15T05:06:41.873Z,176318320187300
"""whywaita @ DtjzvbAuKs"" calls 34166",2025-11-15T05:06:41.046Z,176318320104600
"""ramune @ 3rSQmMhWok"" raises to 34166 and go all in",2025-11-15T05:06:39.013Z,176318319901300
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:06:35.528Z,176318319552807
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:06:35.528Z,176318319552806
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:06:35.528Z,176318319552805
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:06:35.528Z,176318319552804
"Your hand is K♥, A♠",2025-11-15T05:06:35.528Z,176318319552803
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (34832) | #9 ""whywaita @ DtjzvbAuKs"" (415168)",2025-11-15T05:06:35.528Z,176318319552801
"-- starting hand #116 (id: lkqiqncqyiwy)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:06:35.528Z,176318319552800
"-- ending hand #115 --",2025-11-15T05:06:32.603Z,176318319260302
"""whywaita @ DtjzvbAuKs"" collected 9332 from pot",2025-11-15T05:06:32.603Z,176318319260301
"Uncalled bet of 4000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:06:32.603Z,176318319260300
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:06:31.758Z,176318319175800
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:06:28.623Z,176318318862300
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:06:18.716Z,176318317871607
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:06:18.716Z,176318317871606
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:06:18.716Z,176318317871605
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:06:18.716Z,176318317871604
"Your hand is K♥, 8♣",2025-11-15T05:06:18.716Z,176318317871603
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (39498) | #9 ""whywaita @ DtjzvbAuKs"" (410502)",2025-11-15T05:06:18.716Z,176318317871601
"-- starting hand #115 (id: 4fzhwlmevn5d)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:06:18.716Z,176318317871600
"-- ending hand #114 --",2025-11-15T05:06:15.789Z,176318317578902
"""whywaita @ DtjzvbAuKs"" collected 185332 from pot",2025-11-15T05:06:15.789Z,176318317578901
"Uncalled bet of 225170 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:06:15.789Z,176318317578900
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:06:14.974Z,176318317497400
"""whywaita @ DtjzvbAuKs"" bets 225170 and go all in",2025-11-15T05:06:00.133Z,176318316013300
"River: 10♥, 7♥, J♥, 8♣ [4♥]",2025-11-15T05:05:54.922Z,176318315492200
"""ramune @ 3rSQmMhWok"" calls 60000",2025-11-15T05:05:54.111Z,176318315411100
"""whywaita @ DtjzvbAuKs"" bets 60000",2025-11-15T05:05:27.235Z,176318312723500
"Turn: 10♥, 7♥, J♥ [8♣]",2025-11-15T05:04:45.068Z,176318308506800
"""ramune @ 3rSQmMhWok"" calls 20000",2025-11-15T05:04:44.223Z,176318308422300
"""whywaita @ DtjzvbAuKs"" bets 20000",2025-11-15T05:04:30.853Z,176318307085300
"Flop:  [10♥, 7♥, J♥]",2025-11-15T05:04:19.038Z,176318305903800
"""ramune @ 3rSQmMhWok"" calls 12000",2025-11-15T05:04:18.194Z,176318305819400
"""whywaita @ DtjzvbAuKs"" raises to 12000",2025-11-15T05:04:09.945Z,176318304994500
"""ramune @ 3rSQmMhWok"" calls 4000",2025-11-15T05:04:02.424Z,176318304242400
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:03:57.535Z,176318303753507
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:03:57.535Z,176318303753506
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:03:57.535Z,176318303753505
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:03:57.535Z,176318303753504
"Your hand is Q♥, 2♠",2025-11-15T05:03:57.535Z,176318303753503
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (132164) | #9 ""whywaita @ DtjzvbAuKs"" (317836)",2025-11-15T05:03:57.535Z,176318303753501
"-- starting hand #114 (id: cqsntxxaisca)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:03:57.535Z,176318303753500
"-- ending hand #113 --",2025-11-15T05:03:54.535Z,176318303453502
"""ramune @ 3rSQmMhWok"" collected 49332 from pot",2025-11-15T05:03:54.535Z,176318303453501
"Uncalled bet of 82832 returned to ""ramune @ 3rSQmMhWok""",2025-11-15T05:03:54.535Z,176318303453500
"""whywaita @ DtjzvbAuKs"" folds",2025-11-15T05:03:53.693Z,176318303369300
"""ramune @ 3rSQmMhWok"" bets 82832 and go all in",2025-11-15T05:03:32.987Z,176318301298700
"River: Q♥, 9♦, 7♥, 5♠ [J♥]",2025-11-15T05:03:18.500Z,176318299850000
"""ramune @ 3rSQmMhWok"" calls 10000",2025-11-15T05:03:17.598Z,176318299759800
"""whywaita @ DtjzvbAuKs"" bets 10000",2025-11-15T05:03:04.658Z,176318298465800
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:02:55.944Z,176318297594400
"Turn: Q♥, 9♦, 7♥ [5♠]",2025-11-15T05:02:50.160Z,176318297016000
"""ramune @ 3rSQmMhWok"" calls 6000",2025-11-15T05:02:49.340Z,176318296934000
"""whywaita @ DtjzvbAuKs"" bets 6000",2025-11-15T05:02:38.390Z,176318295839000
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:02:24.117Z,176318294411700
"Flop:  [Q♥, 9♦, 7♥]",2025-11-15T05:02:20.863Z,176318294086300
"""ramune @ 3rSQmMhWok"" calls 8000",2025-11-15T05:02:20.034Z,176318294003400
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:02:10.959Z,176318293095900
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:02:07.169Z,176318292716907
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:02:07.169Z,176318292716906
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:02:07.169Z,176318292716905
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:02:07.169Z,176318292716904
"Your hand is 7♠, 3♦",2025-11-15T05:02:07.169Z,176318292716903
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (107498) | #9 ""whywaita @ DtjzvbAuKs"" (342502)",2025-11-15T05:02:07.169Z,176318292716901
"-- starting hand #113 (id: crdj3cbv7ihp)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:02:07.169Z,176318292716900
"-- ending hand #112 --",2025-11-15T05:02:04.256Z,176318292425602
"""whywaita @ DtjzvbAuKs"" collected 5332 from pot",2025-11-15T05:02:04.256Z,176318292425601
"Uncalled bet of 2000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:02:04.256Z,176318292425600
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:02:03.398Z,176318292339800
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:01:59.637Z,176318291963707
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:01:59.637Z,176318291963706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:01:59.637Z,176318291963705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:01:59.637Z,176318291963704
"Your hand is K♦, A♦",2025-11-15T05:01:59.637Z,176318291963703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (110164) | #9 ""whywaita @ DtjzvbAuKs"" (339836)",2025-11-15T05:01:59.637Z,176318291963701
"-- starting hand #112 (id: gqhcgzldowlh)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:01:59.637Z,176318291963700
"-- ending hand #111 --",2025-11-15T05:01:53.600Z,176318291360002
"""ramune @ 3rSQmMhWok"" collected 45332 from pot with Two Pair, K's & 7's (combination: K♠, K♣, 7♣, 7♥, 10♠)",2025-11-15T05:01:53.600Z,176318291360001
"""ramune @ 3rSQmMhWok"" shows a K♠, 7♣.",2025-11-15T05:01:53.600Z,176318291360000
"""whywaita @ DtjzvbAuKs"" calls 14000",2025-11-15T05:01:52.772Z,176318291277200
"""ramune @ 3rSQmMhWok"" bets 14000",2025-11-15T05:01:48.185Z,176318290818500
"River: 9♣, 4♣, 10♠, 7♥ [K♣]",2025-11-15T05:01:32.614Z,176318289261400
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T05:01:31.797Z,176318289179700
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:01:13.698Z,176318287369800
"Turn: 9♣, 4♣, 10♠ [7♥]",2025-11-15T05:01:05.496Z,176318286549600
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T05:01:04.666Z,176318286466600
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T05:00:56.422Z,176318285642200
"Flop:  [9♣, 4♣, 10♠]",2025-11-15T05:00:49.513Z,176318284951300
"""ramune @ 3rSQmMhWok"" calls 8000",2025-11-15T05:00:48.702Z,176318284870200
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:00:40.121Z,176318284012100
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:00:37.037Z,176318283703707
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:00:37.037Z,176318283703706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:00:37.037Z,176318283703705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:00:37.037Z,176318283703704
"Your hand is A♦, 7♠",2025-11-15T05:00:37.037Z,176318283703703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (87498) | #9 ""whywaita @ DtjzvbAuKs"" (362502)",2025-11-15T05:00:37.037Z,176318283703701
"-- starting hand #111 (id: 10zssx6vttxo)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:00:37.037Z,176318283703700
"-- ending hand #110 --",2025-11-15T05:00:34.078Z,176318283407802
"""whywaita @ DtjzvbAuKs"" collected 5332 from pot",2025-11-15T05:00:34.078Z,176318283407801
"Uncalled bet of 2000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T05:00:34.078Z,176318283407800
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T05:00:33.267Z,176318283326700
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T05:00:28.754Z,176318282875407
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T05:00:28.754Z,176318282875406
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:00:28.754Z,176318282875405
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:00:28.754Z,176318282875404
"Your hand is K♠, 5♦",2025-11-15T05:00:28.754Z,176318282875403
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (90164) | #9 ""whywaita @ DtjzvbAuKs"" (359836)",2025-11-15T05:00:28.754Z,176318282875401
"-- starting hand #110 (id: ty3gqwrowobr)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T05:00:28.754Z,176318282875400
"-- ending hand #109 --",2025-11-15T05:00:25.851Z,176318282585102
"""ramune @ 3rSQmMhWok"" collected 17332 from pot",2025-11-15T05:00:25.851Z,176318282585101
"Uncalled bet of 18000 returned to ""ramune @ 3rSQmMhWok""",2025-11-15T05:00:25.851Z,176318282585100
"""whywaita @ DtjzvbAuKs"" folds",2025-11-15T05:00:25.034Z,176318282503400
"""ramune @ 3rSQmMhWok"" raises to 26000",2025-11-15T05:00:15.809Z,176318281580900
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T04:59:57.413Z,176318279741300
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T04:59:52.027Z,176318279202707
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T04:59:52.027Z,176318279202706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T04:59:52.027Z,176318279202705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T04:59:52.027Z,176318279202704
"Your hand is 6♦, 4♣",2025-11-15T04:59:52.027Z,176318279202703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (81498) | #9 ""whywaita @ DtjzvbAuKs"" (368502)",2025-11-15T04:59:52.027Z,176318279202701
"-- starting hand #109 (id: oukrlkbe2tps)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T04:59:52.027Z,176318279202700
"-- ending hand #108 --",2025-11-15T04:59:49.091Z,176318278909102
"""ramune @ 3rSQmMhWok"" collected 17332 from pot",2025-11-15T04:59:49.091Z,176318278909101
"Uncalled bet of 20000 returned to ""ramune @ 3rSQmMhWok""",2025-11-15T04:59:49.091Z,176318278909100
"""whywaita @ DtjzvbAuKs"" folds",2025-11-15T04:59:48.276Z,176318278827600
"""ramune @ 3rSQmMhWok"" raises to 24000",2025-11-15T04:59:15.810Z,176318275581000
"""whywaita @ DtjzvbAuKs"" bets 4000",2025-11-15T04:58:37.309Z,176318271730900
"River: Q♥, K♣, 4♠, 8♣ [10♠]",2025-11-15T04:58:29.919Z,176318270991900
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T04:58:29.089Z,176318270908900
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T04:58:22.342Z,176318270234200
"Turn: Q♥, K♣, 4♠ [8♣]",2025-11-15T04:58:15.352Z,176318269535200
"""ramune @ 3rSQmMhWok"" checks",2025-11-15T04:58:14.530Z,176318269453000
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T04:58:06.157Z,176318268615700
"Flop:  [Q♥, K♣, 4♠]",2025-11-15T04:58:03.846Z,176318268384600
"""whywaita @ DtjzvbAuKs"" checks",2025-11-15T04:58:03.007Z,176318268300700
"""ramune @ 3rSQmMhWok"" calls 4000",2025-11-15T04:57:55.458Z,176318267545800
"""whywaita @ DtjzvbAuKs"" posts a big blind of 4000",2025-11-15T04:57:51.502Z,176318267150208
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T04:57:51.502Z,176318267150207
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T04:57:51.502Z,176318267150206
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T04:57:51.502Z,176318267150205
"Your hand is 3♥, 5♣",2025-11-15T04:57:51.502Z,176318267150204
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (72832) | #9 ""whywaita @ DtjzvbAuKs"" (377168)",2025-11-15T04:57:51.502Z,176318267150202
"-- starting hand #108 (id: dq2bplz3p4t2)  (No Limit Texas Hold'em) (dealer: ""ramune @ 3rSQmMhWok"") --",2025-11-15T04:57:51.502Z,176318267150201
"The player ""ANN @ IjVUpuZ9EK"" quits the game with a stack of 0.",2025-11-15T04:57:51.502Z,176318267150200
"-- ending hand #107 --",2025-11-15T04:57:45.463Z,176318266546301
"""whywaita @ DtjzvbAuKs"" collected 76274 from pot with Two Pair, Q's & 7's (combination: Q♣, Q♥, 7♣, 7♦, A♣)",2025-11-15T04:57:45.463Z,176318266546300
"River: A♣, 4♥, Q♥, 4♠ [7♦]",2025-11-15T04:57:41.447Z,176318266144700
"Turn: A♣, 4♥, Q♥ [4♠]",2025-11-15T04:57:37.445Z,176318265744500
"""whywaita @ DtjzvbAuKs"" shows a Q♣, 7♣.",2025-11-15T04:57:33.442Z,176318265344201
"""ANN @ IjVUpuZ9EK"" shows a Q♠, 5♦.",2025-11-15T04:57:33.442Z,176318265344200
"""whywaita @ DtjzvbAuKs"" calls 28138",2025-11-15T04:57:32.612Z,176318265261200
"""ANN @ IjVUpuZ9EK"" raises to 28138 and go all in",2025-11-15T04:57:30.972Z,176318265097200
"""whywaita @ DtjzvbAuKs"" bets 8000",2025-11-15T04:57:25.072Z,176318264507200
"""ANN @ IjVUpuZ9EK"" checks",2025-11-15T04:57:18.911Z,176318263891100
"Flop:  [A♣, 4♥, Q♥]",2025-11-15T04:57:09.144Z,176318262914400
"""ANN @ IjVUpuZ9EK"" calls 8000",2025-11-15T04:57:08.330Z,176318262833000
"""ramune @ 3rSQmMhWok"" folds",2025-11-15T04:57:05.349Z,176318262534900
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T04:57:03.569Z,176318262356900
"""ANN @ IjVUpuZ9EK"" posts a big blind of 4000",2025-11-15T04:56:57.857Z,176318261785709
"""ramune @ 3rSQmMhWok"" posts a small blind of 2000",2025-11-15T04:56:57.857Z,176318261785708
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T04:56:57.857Z,176318261785707
"""ANN @ IjVUpuZ9EK"" posts an ante of 666",2025-11-15T04:56:57.857Z,176318261785706
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T04:56:57.857Z,176318261785705
"Your hand is Q♣, 7♣",2025-11-15T04:56:57.857Z,176318261785704
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (75498) | #7 ""ANN @ IjVUpuZ9EK"" (36804) | #9 ""whywaita @ DtjzvbAuKs"" (337698)",2025-11-15T04:56:57.857Z,176318261785701
"-- starting hand #107 (id: rfzidk2zhd1o)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T04:56:57.857Z,176318261785700
"-- ending hand #106 --",2025-11-15T04:56:54.937Z,176318261493702
"""whywaita @ DtjzvbAuKs"" collected 9998 from pot",2025-11-15T04:56:54.937Z,176318261493701
"Uncalled bet of 8000 returned to ""whywaita @ DtjzvbAuKs""",2025-11-15T04:56:54.937Z,176318261493700
